CremonaReference,Discriminant,Point,Height,Provable
1088a1,-4,(2 : 4*s : 1),0.715546714473378125580026436,0

1088a2,-4,(-4*s + 6 : 16*s - 8 : 1),0.357773357236689062790013218,0

1088b1,8,(s - 2 : 4 : 1),0.378458693904846939124029924,0

1088b2,-4,(-4*s - 6 : -4*s + 32 : 1),0.357773357236689062790013218,0

1088c1,8,(-4*s + 1 : -8*s - 16 : 1),0.468615344471560493452974078,0

1088c2,56,(17 : -16*s : 1),0.690221804804320277693331609,0

1088c3,-40,(-27 : -34*s : 1),0.388449979440250607838067817,0

1088c4,-424,(-2*s - 39 : 8*s + 536 : 1),0.756008034234552618169920619,0

1088d1,8,(-2*s + 3 : -4*s + 8 : 1),0.234840728134678166322468099,0

1088d2,-8,(2*s + 3 : -8*s + 24 : 1),0.170538384273092544924438983,0

1088e1,-8,(2 : -2*s : 1),0.509074358672684585530526187,0

1088e2,152,(-2*s + 14 : -8*s + 104 : 1),0.556059007543310129675088128,0

1088e3,-760,(-34 : 4*s : 1),0.913692412252520894390688148,0

1088e4,-168,(-2*s - 2 : 8*s + 88 : 1),0.566123482479477227353179664,0

1088f1,8,(-3 : -2*s : 1),0.231507992826438818572777045,0

1088f2,8,(-2*s + 9 : 8*s - 40 : 1),0.115753996413219409286388522,0

1088g1,8,(-3 : -4*s : 1),0.341076768546185089848877965,0

1088g2,104,(2*s + 13 : -8*s - 88 : 1),0.454313338344150343642649851,0

1088h1,-4,(1 : 4*s : 1),0.634274616594804306701273021,0

1088h2,-4,(4*s + 5 : -16*s + 8 : 1),0.317137308297402153350636511,0

1088i1,-680,(-25 : 4*s : 1),0.560163422009460834491626396,0

1088i2,-56,(-17 : -16*s : 1),0.690221804804320277693331609,0

1088i3,40,(27 : -34*s : 1),0.388449979440250607838067817,0

1088i4,712,(2*s + 55 : -8*s - 600 : 1),0.806972039334415810187717618,0

1088j1,8,(-s - 1 : -2*s - 4 : 1),0.240116535523099287525668776,0

1088j2,-8,(-2*s - 1 : 6*s + 16 : 1),0.317137308297402153350636511,0

1088k1,8,(-2*s + 2 : 8 : 1),0.452402013160948464987315916,0

1088k2,8,(2*s + 2 : -8*s + 40 : 1),0.254537179336342292765263094,0

1088k3,760,(34 : 4*s : 1),0.913692412252520894390688148,0

1088k4,-8,(-4*s + 2 : 4*s + 80 : 1),0.325133423492777318604684370,0

1088l1,-24,(0 : -1/2*s : 1),0.551791449330187144806193605,0

1088l2,-4,(-7 : 4*s : 1),0.522859354797957304271495729,0

1088m1,-8,(3 : -2*s : 1),0.231507992826438818572777045,0

1088m2,-8,(-2*s + 7 : -8*s + 24 : 1),0.115753996413219409286388522,0

1088n1,-8,(-s : 1/2*(3*s + 8) : 1),0.261429677398978652135747864,0

1088n2,40,(-s - 1 : -2*s - 12 : 1),0.394863865518941346685337087,0

