CremonaReference,Discriminant,Point,Height
2710a1,5,(8*s + 21 : 56*s + 177 : 1),0.311231138429935137148291351


2710a2,-163,(11 : -80*s - 6 : 1),0.965000914362088559473175539


2710b1,1,(-2 : 5 : 1),0.408406425909565528687914451


2710c1,-283,(6 : -125*s - 3 : 1),1.75800292471511185046568859


2710d1,1,(12 : 19 : 1),0.0671842764519268468433826151


2710e1,1,(21 : -111 : 1),0.0940461835881126602141440188


2710f1,40,(-1/2*s : 1/2*(s - 10) : 1),0.745755960561375109528991769


2710f2,40,(10 : 1/2*(-9*s - 10) : 1),2.23726788168412532858697531


2710g1,-4,(1 : 1/2*(-5*s - 2) : 1),0.186562790810109035030941289


